region,district,district_short,region_alt_rus,region_eng,region_rus,col,row
Алтайский край,Сибирский федеральный округ,СФО,Ал. к.,ALK,АЛТК,12,5
Амурская область,Дальневосточный федеральный округ,ДФО,Амур,AMU,АМУР,15,3
Архангельская область,Северо-Западный федеральный округ,СЗФО,Арх,ARH,АРХ,8,2
Астраханская область,Южный федеральный округ,ЮФО,Аст,AST,АСТ,7,8
Белгородская область,Центральный федеральный округ,ЦФО,Бел,BEL,БЕЛ,4,7
Брянская область,Центральный федеральный округ,ЦФО,Бря,BRN,БРН,2,5
Владимирская область,Центральный федеральный округ,ЦФО,Вла,VLA,ВЛА,5,4
Волгоградская область,Южный федеральный округ,ЮФО,Волг,VGG,ВЛГГ,6,7
Вологодская область,Северо-Западный федеральный округ,СЗФО,Воло,VGD,ВЛГД,4,2
Воронежская область,Центральный федеральный округ,ЦФО,Вор,VRN,ВРН,5,7
Еврейская автономная область,Дальневосточный федеральный округ,ДФО,Евр,YEV,ЕВР,15,4
Забайкальский край,Сибирский федеральный округ,СФО,Заб,ZAB,ЗАБ,14,5
Ивановская область,Центральный федеральный округ,ЦФО,Ива,IVA,ИВА,5,3
Иркутская область,Сибирский федеральный округ,СФО,Ирк,IRK,ИРК,14,3
Кабардино-Балкарская Республика,Северо-Кавказский федеральный округ,СКФО,Каб,KBR,КБР,4,10
Калининградская область,Северо-Западный федеральный округ,СЗФО,Кали,KLN,КЛН,0,3
Калужская область,Центральный федеральный округ,ЦФО,Калу,KLG,КЛЖ,3,4
Камчатский край,Дальневосточный федеральный округ,ДФО,Кам,KAM,КАМ,17,1
Карачаево-Черкесская Республика,Северо-Кавказский федеральный округ,СКФО,Кара,KCH,КЧР,4,9
Кемеровская область,Сибирский федеральный округ,СФО,Кем,KEM,КЕМ,13,3
Кировская область,Приволжский федеральный округ,ПФО,Кир,KIR,КИР,8,3
Костромская область,Центральный федеральный округ,ЦФО,Кос,KOS,КОСТ,6,3
Краснодарский край,Южный федеральный округ,ЮФО,Крдр,KRD,КРНД,4,8
Красноярский край,Сибирский федеральный округ,СФО,Крас,KRN,КРСН,13,2
Курганская область,Уральский федеральный округ,УФО,Кург,KRG,КУРГ,11,4
Курская область,Центральный федеральный округ,ЦФО,Курск,KSK,КРСК,3,6
Ленинградская область,Северо-Западный федеральный округ,СЗФО,Лен,LEN,ЛЕН,2,2
Липецкая область,Центральный федеральный округ,ЦФО,Лип,LIP,ЛИП,4,6
Магаданская область,Дальневосточный федеральный округ,ДФО,Маг,MAG,МАГ,16,2
Москва,Центральный федеральный округ,ЦФО,Мск,MSK,МСК,0,1
Московская область,Центральный федеральный округ,ЦФО,Мос,MOB,МОБЛ,4,4
Мурманская область,Северо-Западный федеральный округ,СЗФО,Мур,MUR,МУР,4,0
Ненецкий автономный округ,Северо-Западный федеральный округ,СЗФО,Нен,NEN,НЕН,9,1
Нижегородская область,Приволжский федеральный округ,ПФО,Ниж,NIZ,НИЖ,6,4
Новгородская область,Северо-Западный федеральный округ,СЗФО,Новг,NVG,НОВГ,3,2
Новосибирская область,Сибирский федеральный округ,СФО,Ново,NSK,НСК,12,4
Омская область,Сибирский федеральный округ,СФО,Омск,OMS,ОМСК,11,5
Оренбургская область,Приволжский федеральный округ,ПФО,Орен,ORE,ОРЕН,8,6
Орловская область,Центральный федеральный округ,ЦФО,Орёл,ORL,ОРЛ,3,5
Пензенская область,Приволжский федеральный округ,ПФО,Пен,PNZ,ПЕНЗ,6,6
Пермский край,Приволжский федеральный округ,ПФО,Пер,PER,ПЕРМ,9,3
Приморский край,Дальневосточный федеральный округ,ДФО,При,PRI,ПРИМ,16,5
Псковская область,Северо-Западный федеральный округ,СЗФО,Пск,PSK,ПСК,2,3
Республика Адыгея,Южный федеральный округ,ЮФО,Адыг,ADG,АДГ,3,8
Республика Алтай,Сибирский федеральный округ,СФО,Алт,ALR,АЛТР,12,6
Республика Башкортостан,Приволжский федеральный округ,ПФО,Бшк,BAS,БАШ,9,5
Республика Бурятия,Сибирский федеральный округ,СФО,Бур,BUR,БУР,14,4
Республика Дагестан,Северо-Кавказский федеральный округ,СКФО,Даг,DAG,ДАГ,7,9
Республика Ингушетия,Северо-Кавказский федеральный округ,СКФО,Инг,ING,ИНГ,6,10
Республика Калмыкия,Южный федеральный округ,ЮФО,Калм,KLM,КАЛМ,6,8
Республика Карелия,Северо-Западный федеральный округ,СЗФО,Кар,KRL,КРЛ,3,1
Республика Коми,Северо-Западный федеральный округ,СЗФО,Коми,KOM,КОМИ,9,2
Республика Крым,Южный федеральный округ,ЮФО,Крым,KRM,КРЫМ,2,8
Республика Марий Эл,Приволжский федеральный округ,ПФО,Мари,MAR,МАР,7,3
Республика Мордовия,Приволжский федеральный округ,ПФО,Мор,MOR,МОРД,6,5
Республика Саха (Якутия),Дальневосточный федеральный округ,ДФО,Саха,SAH,САХА,15,2
Республика Северная Осетия — Алания,Северо-Кавказский федеральный округ,СКФО,Осeт,OSE,ОСЕТ,5,10
Республика Татарстан,Приволжский федеральный округ,ПФО,Тат,TAT,ТАТ,8,4
Республика Тыва,Сибирский федеральный округ,СФО,Тыва,TYV,ТЫВА,13,5
Республика Хакасия,Сибирский федеральный округ,СФО,Хак,HAK,ХАК,13,4
Ростовская область,Южный федеральный округ,ЮФО,Рос,RST,РОСТ,5,8
Рязанская область,Центральный федеральный округ,ЦФО,Ряз,RZN,РЯЗН,5,5
Самарская область,Приволжский федеральный округ,ПФО,Сам,SAM,САМ,8,5
Санкт-Петербург,Северо-Западный федеральный округ,СЗФО,Спб,SPB,СПБ,0,0
Саратовская область,Приволжский федеральный округ,ПФО,Сар,SAR,САР,7,6
Сахалинская область,Дальневосточный федеральный округ,ДФО,Схлн,SHL,СХЛН,18,3
Cевастополь,Южный федеральный округ,ЮФО,Сев,SEV,СЕВ,0,8
Свердловская область,Уральский федеральный округ,УФО,Свер,SVE,СВРД,10,4
Смоленская область,Центральный федеральный округ,ЦФО,Смол,SMO,СМОЛ,2,4
Ставропольский край,Северо-Кавказский федеральный округ,СКФО,Став,STV,СТАВ,5,9
Тамбовская область,Центральный федеральный округ,ЦФО,Там,TMB,ТАМБ,5,6
Тверская область,Центральный федеральный округ,ЦФО,Твeр,TVE,ТВЕР,3,3
Томская область,Сибирский федеральный округ,СФО,Томск,TOM,ТОМ,12,3
Тульская область,Центральный федеральный округ,ЦФО,Тул,TUL,ТУЛ,4,5
Тюменская область,Уральский федеральный округ,УФО,Тюм,TMN,ТЮМ,11,3
Удмуртская Республика,Приволжский федеральный округ,ПФО,Удм,UDM,УДМ,9,4
Ульяновская область,Приволжский федеральный округ,ПФО,Уль,ULN,УЛЬН,7,5
Хабаровский край,Дальневосточный федеральный округ,ДФО,Хаб,HAB,ХАБ,16,3
Ханты-Мансийский автономный округ — Югра,Уральский федеральный округ,УФО,Хан,HAN,ХАН,10,3
Челябинская область,Уральский федеральный округ,УФО,Чел,CHL,ЧЕЛ,10,5
Чеченская Республика,Северо-Кавказский федеральный округ,СКФО,Чеч,CEC,ЧЕЧ,6,9
Чувашская Республика,Приволжский федеральный округ,ПФО,Чув,CHV,ЧУВ,7,4
Чукотский автономный округ,Дальневосточный федеральный округ,ДФО,Чук,CHK,ЧУК,16,1
Ямало-Ненецкий автономный округ,Уральский федеральный округ,УФО,Ямал,YAM,ЯМН,10,2
Ярославская область,Центральный федеральный округ,ЦФО,Яро,YAR,ЯРЛ,4,3